IP,Ports,JA4X,Subject.common_name,SeenFirst,SeenLast
185.173.107.140,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/28/2024 14:50,4/13/2024 15:06
222.173.105.182,6443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/3/2023 16:08,4/18/2024 16:24
132.226.226.67,1443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/26/2023 8:50,4/21/2024 6:33
95.179.221.74,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 1:43,4/24/2024 18:53
121.34.248.101,8443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/23/2022 8:41,4/21/2024 15:57
155.138.134.65,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/18/2022 23:49,4/25/2024 2:49
18.178.159.77,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 13:54,4/25/2024 0:52
149.248.79.60,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/17/2024 3:13,4/17/2024 3:13
217.146.80.82,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/7/2023 16:29,4/21/2024 1:15
185.108.129.142,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/6/2022 13:50,4/24/2024 0:54
45.67.86.160,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/8/2024 1:05,4/25/2024 0:39
42.192.12.139,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 12:47,4/24/2024 23:16
108.181.99.7,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/7/2023 1:09,4/22/2024 1:03
185.49.231.45,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:08,4/13/2024 15:08
119.233.188.239,4449,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/20/2024 2:27,4/20/2024 2:24
45.92.94.40,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/14/2024 7:41,4/13/2024 14:44
51.195.41.125,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/18/2023 13:15,4/23/2024 0:47
185.49.231.46,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:02,4/13/2024 15:02
192.121.47.31,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/9/2022 13:48,4/23/2024 0:43
212.92.104.121,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/8/2023 1:02,4/22/2024 1:19
13.124.207.203,20443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/27/2023 16:31,4/23/2024 15:52
57.129.7.195,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,12/28/2023 4:09,4/13/2024 14:48
45.32.165.22,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/9/2023 3:28,4/25/2024 1:32
91.107.219.181,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,7/11/2023 1:43,4/25/2024 0:33
107.170.208.73,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/18/2022 15:38,4/24/2024 18:46
5.75.142.11,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/5/2022 12:49,4/25/2024 0:42
195.85.114.215,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 2:39,4/13/2024 2:39
62.234.211.131,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 0:15,4/25/2024 4:57
92.114.17.83,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 14:52,4/13/2024 14:52
108.181.99.8,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/7/2023 1:08,4/20/2024 0:43
145.239.87.158,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/14/2024 16:01,4/18/2024 1:02
38.55.99.109,4433,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/10/2023 11:28,4/25/2024 4:11
51.75.37.250,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/17/2024 6:22,4/21/2024 0:50
185.49.231.47,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:14,4/13/2024 15:14
54.38.60.113,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/15/2024 0:35,4/21/2024 0:49
151.236.21.126,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,12/12/2022 13:35,4/22/2024 1:04
109.201.134.238,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/2/2024 0:39,4/21/2024 1:11
103.151.28.38,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 12:25,4/22/2024 1:11
110.80.172.253,8443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/11/2024 16:00,4/20/2024 15:54
185.49.231.104,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:08,4/13/2024 15:08
